open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-18,24.4,24.88,24.6,24.3,67435.14,0.01,0.04,24.254,24.192,23.441,90208.95,96567.41,78252.92,1.69
2018-01-17,24.42,24.92,24.6,23.8,92242.51,0.2,0.82,24.068,24.239,23.378,86427.08,102837.01,77049.61,2.31
2018-01-16,23.4,24.6,24.4,23.3,101295.42,0.96,4.1,23.908,24.058,23.321,82003.73,101081.47,74590.92,2.54
2018-01-15,24.01,24.23,23.43,23.3,69768.17,-0.8,-3.3,23.82,23.86,23.257,78179.81,95219.71,71006.65,1.75
2018-01-12,23.7,25.15,24.24,23.42,120303.53,0.56,2.37,24.076,23.748,23.236,86133.33,91838.46,69690.35,3.01
2018-01-11,23.67,23.85,23.67,23.21,48525.75,-0.12,-0.5,24.13,23.548,23.197,102925.87,85432.61,65928.23,1.21
2018-01-10,24.1,24.6,23.8,23.4,70125.79,-0.14,-0.58,24.41,23.394,23.204,119246.95,85508.89,66934.89,1.76
2018-01-09,24.6,24.78,23.96,23.82,82175.82,-0.76,-3.07,24.208,23.237,23.213,120159.21,84689.28,69688.92,2.06
2018-01-08,24.12,24.95,24.71,24.01,109535.76,0.2,0.82,23.9,22.992,23.153,112259.6,85078.67,67644.48,2.74
2018-01-05,24.0,25.4,24.51,23.7,204266.23,-0.56,-2.23,23.42,22.82,23.048,97543.6,76964.5,64853.8,5.11
2018-01-04,22.79,25.07,25.07,22.51,130131.15,2.28,10.0,22.966,22.69,22.935,67939.35,59938.43,57071.47,3.26
2018-01-03,22.42,22.83,22.79,22.18,74687.1,0.38,1.7,22.378,22.516,22.785,51770.82,51262.21,53198.15,1.87
2018-01-02,22.3,22.54,22.42,22.05,42677.76,0.12,0.54,22.266,22.583,22.73,49219.34,48100.37,53397.23,1.07
2017-12-29,22.34,22.46,22.31,22.02,35955.75,0.08,0.36,22.084,22.654,22.755,57897.75,46793.59,55537.48,0.9
2017-12-28,22.23,22.84,22.24,22.12,56245.01,0.11,0.5,22.22,22.723,22.849,56385.4,47542.23,55915.74,1.41
2017-12-27,22.25,22.57,22.13,21.8,49288.5,-0.11,-0.49,22.414,22.846,22.949,51937.5,46423.84,55602.16,1.23
2017-12-26,21.73,22.66,22.23,21.73,61929.7,0.72,3.35,22.654,23.014,23.057,50753.59,48360.9,55920.67,1.55
2017-12-25,22.81,22.93,21.51,21.11,86069.77,-1.47,-6.4,22.9,23.189,23.181,46981.39,54688.57,55274.61,2.15
2017-12-22,23.21,23.39,22.99,22.9,28394.0,-0.21,-0.91,23.224,23.313,23.316,35689.43,50210.29,53887.77,0.71
2017-12-21,23.39,23.5,23.21,22.86,34005.55,-0.11,-0.47,23.226,23.275,23.389,38699.06,52743.1,55126.09,0.85
2017-12-20,23.61,23.96,23.33,23.2,43368.92,-0.14,-0.6,23.278,23.18,23.43,40910.18,54204.51,57245.14,1.09
2017-12-19,23.23,23.66,23.46,23.23,43068.7,0.31,1.34,23.374,23.053,23.526,45968.22,55134.09,58490.17,1.08
2017-12-18,23.0,23.49,23.13,22.83,29610.0,0.12,0.52,23.478,22.877,23.617,62395.75,58694.09,60331.46,0.74
2017-12-15,23.4,23.4,23.0,22.85,43442.15,-0.46,-1.96,23.402,22.856,23.715,64731.15,64281.37,65134.62,1.09
2017-12-14,23.65,23.77,23.47,23.22,45061.12,-0.33,-1.39,23.324,22.974,23.869,66787.14,64289.26,71322.17,1.13
2017-12-13,23.99,24.38,23.81,23.6,68659.12,-0.15,-0.63,23.082,23.052,24.104,67498.84,64780.47,73475.4,1.72
2017-12-12,22.61,24.14,23.98,22.61,125206.36,1.21,5.31,22.732,23.1,24.337,64299.97,63480.44,76113.42,3.13
2017-12-11,22.61,22.94,22.75,22.5,41287.0,0.14,0.62,22.276,23.172,24.605,54992.43,55860.66,82041.76,1.03
2017-12-08,22.4,22.9,22.61,22.04,53722.08,0.35,1.57,22.31,23.318,24.88,63831.59,57565.25,87775.07,1.34
2017-12-07,21.98,22.48,22.26,21.92,48619.64,0.22,1.0,22.624,23.502,25.153,61791.38,57509.09,91369.88,1.22
2017-12-06,21.66,22.1,22.06,21.51,52664.77,0.36,1.66,23.022,23.679,25.459,62062.1,60285.78,98491.69,1.32
2017-12-05,22.91,23.26,21.7,21.65,78668.67,-1.22,-5.32,23.468,23.999,25.808,62660.91,61846.25,104051.13,1.97
2017-12-04,23.91,24.15,22.92,22.85,85482.8,-1.27,-5.25,24.068,24.357,26.172,56728.88,61968.83,108773.06,2.14
2017-12-01,24.04,24.49,24.18,24.04,43521.0,-0.04,-0.17,24.326,24.574,26.435,51298.9,65987.87,112043.75,1.09
2017-11-30,24.37,24.76,24.25,24.05,49973.27,-0.05,-0.21,24.38,24.764,26.634,53226.8,78355.08,123826.01,1.25
2017-11-29,24.66,24.8,24.29,23.96,55658.83,-0.4,-1.62,24.336,25.156,26.944,58509.45,82170.33,136951.4,1.39
2017-11-28,24.01,24.9,24.7,24.0,49008.5,0.5,2.07,24.53,25.573,27.421,61031.58,88746.39,145784.73,1.23
2017-11-27,24.4,24.95,24.21,24.01,58332.89,-0.23,-0.94,24.646,26.037,27.908,67208.79,108222.87,161417.35,1.46
2017-11-24,24.1,24.7,24.45,24.09,53160.52,0.43,1.79,24.822,26.441,28.3,80676.85,117984.89,175389.32,1.33
2017-11-23,25.3,25.43,24.03,23.98,76386.5,-1.24,-4.91,25.148,26.805,28.733,103483.37,125230.68,189422.51,1.91
2017-11-22,25.21,25.9,25.26,24.84,68269.5,-0.03,-0.12,25.976,27.239,29.152,105831.21,136697.6,210698.95,1.71
2017-11-21,24.6,25.98,25.28,24.56,79894.52,0.17,0.68,26.616,27.617,29.376,116461.2,146256.01,223732.84,2.0
2017-11-20,25.55,25.58,25.09,23.46,125673.2,-0.98,-3.76,27.428,27.987,29.514,149236.94,155577.28,235402.64,3.15
2017-11-17,28.0,28.15,26.08,25.91,167193.12,-2.09,-7.42,28.06,28.296,29.749,155292.94,158099.63,252443.7,4.18
2017-11-16,28.1,28.72,28.17,28.0,88125.71,-0.3,-1.05,28.462,28.503,29.862,146977.99,169296.94,264662.55,2.21
2017-11-15,29.3,29.3,28.46,28.3,121419.46,-0.86,-2.93,28.502,28.731,29.811,167563.98,191732.48,269280.79,3.04
2017-11-14,28.0,29.89,29.34,27.68,243773.23,1.1,3.9,28.618,29.268,29.673,176050.82,202823.06,268677.48,6.1
2017-11-13,28.61,29.23,28.25,28.09,155953.17,0.16,0.57,28.546,29.778,29.477,161917.62,214611.83,259871.29,3.9
2017-11-10,28.78,28.99,28.09,27.88,125618.36,-0.28,-0.99,28.532,30.159,29.324,160906.32,232793.74,257734.07,3.14
2017-11-09,28.88,29.09,28.37,27.76,191055.7,-0.67,-2.31,28.544,30.661,29.237,191615.9,253614.34,254168.58,4.78
2017-11-08,28.8,29.7,29.04,28.11,163853.66,0.06,0.21,28.96,31.065,29.132,215900.97,284700.31,248910.25,4.1
2017-11-07,28.6,29.37,28.98,28.42,173107.2,0.8,2.84,29.918,31.134,28.995,229595.3,301209.67,247155.94,4.33
2017-11-06,28.67,28.74,28.18,27.76,150896.66,0.03,0.11,31.01,31.041,28.902,267306.04,315227.99,242961.71,3.78
2017-11-03,28.86,29.62,28.15,28.03,279166.28,-2.3,-7.55,31.786,31.202,28.861,304681.17,346787.77,243949.88,6.99
2017-11-02,31.8,31.8,30.45,30.45,312481.06,-3.38,-9.99,32.778,31.22,28.843,315612.77,360028.16,237874.8,7.82
2017-11-01,33.85,34.34,33.83,33.1,232325.3,-0.61,-1.77,33.17,30.891,28.684,353499.64,346829.1,233701.92,5.81
2017-10-31,32.62,35.22,34.44,32.2,361660.88,2.38,7.42,32.35,30.077,28.406,372824.04,334531.9,241075.48,9.05
2017-10-30,32.56,34.4,32.06,31.85,337772.31,-1.05,-3.17,31.072,29.176,28.01,363149.95,305130.76,231267.29,8.45
2017-10-27,31.45,33.2,33.11,31.45,333824.31,0.7,2.16,30.618,28.489,27.652,388894.38,282674.4,221367.64,8.35
2017-10-26,29.3,32.7,32.41,28.92,501915.41,2.68,9.01,29.662,27.813,27.306,404443.54,254722.83,215395.01,12.56
2017-10-25,27.86,30.45,29.73,27.54,328947.31,1.68,5.99,28.612,27.198,27.072,340158.56,213120.2,208416.55,8.23
2017-10-24,28.2,28.75,28.05,27.22,313290.41,-1.74,-5.84,27.804,26.856,26.88,296239.76,193102.21,197044.24,7.84
2017-10-23,29.0,31.16,29.79,28.9,466494.47,1.46,5.15,27.28,26.763,26.764,247111.56,170695.43,186873.57,11.68
2017-10-20,29.2,29.83,28.33,27.85,411570.12,1.17,4.31,26.36,26.519,26.572,176454.41,141111.99,171445.99,10.3
2017-10-19,25.61,27.2,27.16,25.61,180490.47,1.47,5.72,25.964,26.465,26.5,105002.11,115721.45,159293.58,4.52
2017-10-18,25.63,26.41,25.69,25.5,109353.35,0.26,1.02,25.784,26.477,26.479,86081.84,120574.74,156028.36,2.74
2017-10-17,25.3,25.88,25.43,25.23,67649.41,0.24,0.95,25.908,26.734,26.542,89964.65,147619.06,159389.25,1.69
2017-10-16,26.4,26.48,25.19,25.03,113208.69,-1.16,-4.4,26.246,26.843,26.643,94279.29,157403.83,171053.0,2.83
2017-10-13,26.26,26.54,26.35,26.14,54308.65,0.09,0.34,26.678,26.815,26.738,105769.58,160060.88,178294.92,1.36
2017-10-12,26.28,26.51,26.26,25.92,85889.09,-0.05,-0.19,26.966,26.798,26.767,126440.79,176067.19,192651.51,2.15
2017-10-11,27.26,27.37,26.31,26.02,128767.41,-0.81,-2.99,27.17,26.945,26.733,155067.65,203712.91,202840.46,3.22
2017-10-10,27.12,27.49,27.12,26.75,89222.62,-0.23,-0.84,27.56,26.903,26.643,205273.46,200986.28,204488.73,2.23
2017-10-09,27.8,28.22,27.35,27.0,170660.12,-0.44,-1.58,27.44,26.765,26.484,220528.36,203051.72,206976.96,4.27
2017-09-29,27.49,27.88,27.79,27.04,157664.69,0.51,1.87,26.952,26.625,26.305,214352.17,201779.99,210644.2,3.95
2017-09-28,27.58,28.1,27.28,27.11,229023.39,-0.98,-3.47,26.63,26.535,26.167,225693.6,202865.7,211476.52,5.73
2017-09-27,26.52,29.01,28.26,26.52,379796.5,1.74,6.56,26.72,26.48,26.084,252358.18,191481.98,212995.67,9.51
2017-09-26,24.87,26.66,26.52,24.85,165497.09,1.61,6.46,26.246,26.349,25.879,196699.1,171159.43,203831.34,4.14
2017-09-25,25.78,26.16,24.91,24.67,139779.2,-1.27,-4.85,26.09,26.443,25.706,185575.07,184702.18,200104.09,3.5
2017-09-22,27.0,27.18,26.18,25.87,214371.81,-1.55,-5.59,26.298,26.661,25.635,189207.81,196528.96,199072.47,5.37
2017-09-21,26.03,28.48,27.73,25.7,362346.28,1.84,7.11,26.44,26.736,25.495,180037.81,209235.84,194833.73,9.07
2017-09-20,25.66,26.08,25.89,25.35,101501.12,0.15,0.58,26.24,26.52,25.239,130605.78,201968.02,183411.57,2.54
2017-09-19,25.95,26.52,25.74,25.53,109876.95,-0.21,-0.81,26.452,26.382,25.098,145619.77,207991.18,191562.46,2.75
2017-09-18,26.66,26.66,25.95,25.53,157942.91,-0.94,-3.5,26.796,26.203,25.029,183829.29,210902.21,209190.26,3.95
2017-09-15,26.58,27.76,26.89,26.33,168521.77,0.16,0.6,27.024,25.984,24.867,203850.1,219508.4,205704.82,4.22
2017-09-14,26.7,27.1,26.73,26.42,115186.16,-0.22,-0.82,27.032,25.799,24.642,238433.87,220087.33,204899.57,2.88
2017-09-13,27.2,27.85,26.95,26.66,176571.05,-0.51,-1.86,26.8,25.688,24.4,273330.25,234509.37,202029.43,4.42
2017-09-12,27.18,28.55,27.46,26.31,300924.56,0.37,1.37,26.312,25.408,24.147,270362.6,236503.24,196693.28,7.53
2017-09-11,26.9,27.55,27.09,26.56,258046.98,0.16,0.59,25.61,24.968,23.846,237975.12,215506.0,183694.65,6.46
2017-09-08,25.5,27.47,26.93,25.32,341440.59,1.36,5.32,24.944,24.609,23.566,235166.7,201615.98,172957.06,8.55
2017-09-07,24.41,26.9,25.57,24.2,289668.06,1.06,4.33,24.566,24.253,23.281,201740.8,180431.62,160218.55,7.25
2017-09-06,23.51,24.88,24.51,23.38,161732.8,0.56,2.34,24.576,23.958,23.105,195688.49,164855.13,150908.43,4.05
2017-09-05,23.76,24.32,23.95,23.31,138987.19,0.19,0.8,24.504,23.814,22.95,202643.87,175133.74,145571.54,3.48
2017-09-04,24.45,24.45,23.76,23.3,244004.84,-1.28,-5.11,24.326,23.854,22.835,193036.87,207478.31,141090.53,6.11
2017-09-01,25.33,25.5,25.04,24.78,174311.09,-0.58,-2.26,24.274,23.749,22.732,168065.26,191901.23,130989.34,4.36
2017-08-31,24.16,25.88,25.62,23.78,259406.52,1.47,6.09,23.94,23.485,22.554,159122.44,189711.82,126717.47,6.49
2017-08-30,23.25,24.6,24.15,23.21,196509.73,1.09,4.73,23.34,23.111,22.387,134021.77,169549.5,116718.92,4.92
2017-08-29,23.45,23.85,23.06,23.04,90952.18,-0.44,-1.87,23.124,22.885,22.274,147623.61,156883.33,110864.84,2.28
2017-08-28,23.45,23.7,23.5,23.05,119146.78,0.13,0.56,23.382,22.723,22.24,221919.75,151883.31,112052.01,2.98
2017-08-25,22.5,23.6,23.37,22.5,129597.0,0.75,3.32,23.224,22.523,22.205,215737.21,144298.14,113275.25,3.24
2017-08-24,22.87,23.25,22.62,22.47,133903.14,-0.45,-1.95,23.03,22.309,22.187,220301.19,140005.48,111800.14,3.35
2017-08-23,23.9,24.06,23.07,22.85,264518.94,-1.28,-5.26,22.882,22.252,22.194,205077.23,136961.73,110195.54,6.62
2017-08-22,22.55,24.98,24.35,22.38,462432.88,1.64,7.22,22.646,22.085,22.21,166143.05,116009.34,102483.41,11.57
2017-08-21,22.6,22.88,22.71,22.14,88234.07,0.31,1.38,22.064,21.816,22.178,81846.87,74702.76,87736.24,2.21
2017-08-18,21.75,22.98,22.4,21.51,152416.92,0.52,2.38,21.822,21.714,22.194,72859.08,70077.44,88489.06,3.81
2017-08-17,21.8,22.05,21.88,21.65,57783.36,-0.01,-0.05,21.588,21.623,22.234,59709.77,63723.13,88923.75,1.45
2017-08-16,21.37,22.07,21.89,21.35,69848.0,0.45,2.1,21.622,21.663,22.273,68846.23,63888.34,91485.69,1.75
2017-08-15,21.52,21.68,21.44,21.34,40952.0,-0.06,-0.28,21.524,21.663,22.309,65875.63,64846.36,95231.54,1.02
2017-08-14,21.1,21.56,21.5,20.93,43295.1,0.27,1.27,21.568,21.757,22.3,67558.65,72220.71,97943.72,1.08
2017-08-11,21.85,22.09,21.23,21.1,86670.4,-0.82,-3.72,21.606,21.886,22.274,67295.81,82252.36,104702.04,2.17
2017-08-10,21.45,22.2,22.05,21.36,103465.63,0.65,3.04,21.658,22.064,22.356,67736.48,83594.8,108566.23,2.59
2017-08-09,21.62,21.62,21.4,21.23,54995.01,-0.26,-1.2,21.704,22.135,22.427,58930.45,83429.34,112174.04,1.38
2017-08-08,21.62,21.8,21.66,21.49,49367.1,-0.03,-0.14,21.802,22.335,22.547,63817.09,88957.49,122551.57,1.24
2017-08-07,21.6,21.97,21.69,21.49,41980.9,0.2,0.93,21.946,22.539,22.576,76882.78,100769.73,132964.43,1.05
2017-08-04,22.1,22.27,21.49,21.44,88873.78,-0.79,-3.55,22.166,22.673,22.648,97208.92,106900.68,146038.32,2.22
2017-08-03,22.18,22.46,22.28,21.99,59435.48,0.39,1.78,22.47,22.844,22.639,99453.13,114124.37,147146.25,1.49
2017-08-02,22.13,22.49,21.89,21.86,79428.17,-0.49,-2.19,22.566,22.883,22.574,107928.23,119083.05,148827.89,1.99
2017-08-01,22.65,23.18,22.38,22.3,114695.56,-0.41,-1.8,22.868,22.955,22.53,114097.89,125616.72,151033.85,2.87
2017-07-31,22.78,22.9,22.79,21.84,143611.59,-0.22,-0.96,23.132,22.843,22.45,124656.68,123666.72,154316.35,3.59
2017-07-28,22.6,23.36,23.01,22.5,100094.83,0.25,1.1,23.18,22.661,22.409,116592.45,127151.72,155849.67,2.51
2017-07-27,23.39,23.39,22.76,22.63,101811.01,-0.64,-2.73,23.218,22.647,22.337,128795.61,133537.65,158236.21,2.55
2017-07-26,23.53,23.92,23.4,22.85,110276.48,-0.3,-1.27,23.2,22.718,22.286,130237.86,140918.73,160464.67,2.76
2017-07-25,23.07,24.2,23.7,22.64,167489.48,0.67,2.91,23.042,22.759,22.199,137135.54,156145.65,166607.7,4.19
2017-07-24,22.8,23.79,23.03,22.63,103290.47,-0.17,-0.73,22.554,22.612,22.124,122676.77,165159.14,172661.06,2.59
2017-07-21,22.75,23.98,23.2,22.75,161110.59,0.53,2.34,22.142,22.622,22.136,137710.98,185175.95,181610.12,4.03
2017-07-20,22.52,23.1,22.67,22.36,109022.27,0.06,0.27,22.076,22.433,22.143,138279.69,180168.13,195468.18,2.73
2017-07-19,21.14,22.86,22.61,20.86,144764.88,1.35,6.35,22.236,22.264,22.306,151599.61,178572.74,211100.74,3.62
2017-07-18,20.63,21.58,21.26,20.63,95195.62,0.29,1.38,22.476,22.104,22.354,175155.77,176450.98,214117.38,2.38
2017-07-17,22.64,22.66,20.97,20.58,178461.53,-1.9,-8.31,22.67,22.056,22.495,207641.51,184965.98,228057.86,4.47
2017-07-14,23.28,24.29,22.87,22.8,163954.17,-0.6,-2.56,23.102,22.157,22.571,232640.92,184547.63,230585.56,4.1
2017-07-13,23.6,23.6,23.47,22.81,175621.84,-0.34,-1.43,22.79,22.026,22.468,222056.57,182934.76,228670.24,4.4
2017-07-12,22.26,23.95,23.81,22.26,262545.69,1.58,7.11,22.292,21.853,22.305,205545.87,180010.6,224798.65,6.57
2017-07-11,22.99,24.0,22.23,21.85,257624.34,-0.9,-3.89,21.732,21.639,22.079,177746.19,177069.74,215196.38,6.45
2017-07-10,21.11,23.44,23.13,21.06,303458.56,1.82,8.54,21.442,21.636,21.924,162290.45,180162.98,205572.5,7.59
2017-07-07,20.8,21.44,21.31,20.65,111032.43,0.33,1.57,21.212,21.649,21.674,136454.34,178044.29,192451.24,2.78
2017-07-06,20.86,21.19,20.98,20.69,93068.35,-0.03,-0.14,21.262,21.852,21.562,143812.95,210768.22,189283.48,2.33
2017-07-05,20.59,21.14,21.01,20.51,123547.26,0.23,1.11,21.414,22.347,21.463,154475.33,243628.74,186661.35,3.09
2017-07-04,21.97,21.99,20.78,20.75,180345.66,-1.2,-5.46,21.546,22.603,21.378,176393.3,251783.78,183077.72,4.51
2017-07-03,21.59,22.14,21.98,21.37,174278.0,0.42,1.95,21.83,22.933,21.266,198035.52,271149.75,175424.65,4.36
2017-06-30,21.6,21.74,21.56,21.13,147825.48,-0.18,-0.83,22.086,22.985,21.102,219634.25,276623.48,169829.99,3.7
2017-06-29,21.78,21.94,21.74,21.47,146380.23,0.07,0.32,22.442,22.909,20.933,277723.49,274405.71,163967.44,3.66
2017-06-28,22.2,22.37,21.67,21.41,233137.12,-0.53,-2.39,23.28,22.756,20.743,332782.16,269586.69,158480.44,5.83
2017-06-27,23.1,23.24,22.2,22.06,288556.75,-1.06,-4.56,23.66,22.519,20.555,327174.26,253323.02,148477.09,7.22
2017-06-26,23.3,23.87,23.26,22.57,282271.66,-0.08,-0.34,24.036,22.211,20.333,344263.97,230982.02,136002.95,7.06
2017-06-23,24.0,24.47,23.34,23.34,438271.69,-2.59,-9.99,23.884,21.699,20.02,333612.72,206858.19,123274.25,10.97
2017-06-22,23.32,25.93,25.93,23.26,421673.59,2.36,10.01,23.376,21.272,19.694,271087.94,167798.74,103052.22,10.55
2017-06-21,23.0,23.84,23.57,22.9,205097.59,-0.51,-2.12,22.232,20.579,19.268,206391.22,129693.95,82884.05,5.13
2017-06-20,23.75,24.45,24.08,22.22,374005.34,1.58,7.02,21.378,20.152,18.976,179471.78,114371.67,73335.91,9.36
2017-06-19,21.0,22.85,22.5,20.94,229015.38,1.7,8.17,20.386,19.599,18.665,117700.07,79699.55,55293.91,5.73
2017-06-16,20.41,21.78,20.8,20.41,125647.79,0.59,2.92,19.514,19.218,18.43,80103.66,63036.5,44539.8,3.14
2017-06-15,19.33,20.35,20.21,19.33,98190.0,0.91,4.71,19.168,18.956,18.286,64509.53,53529.16,39407.28,2.46
2017-06-14,19.31,19.91,19.3,19.11,70500.37,0.18,0.94,18.926,18.729,18.161,52996.68,47374.18,35624.83,1.76
2017-06-13,18.25,19.35,19.12,18.25,65146.83,0.98,5.4,18.926,18.59,18.071,49271.56,43631.15,32830.88,1.63
2017-06-12,18.8,18.8,18.14,18.1,41033.32,-0.93,-4.88,18.812,18.455,17.995,41699.02,41023.88,31194.55,1.03
2017-06-09,19.2,19.2,19.07,18.6,47677.14,0.07,0.37,18.922,18.34,17.984,45969.33,39690.31,30424.58,1.19
2017-06-08,19.35,19.5,19.0,18.93,40625.74,-0.3,-1.55,18.744,18.115,17.947,42548.78,38305.7,29018.31,1.02
2017-06-07,18.59,19.44,19.3,18.59,51874.76,0.75,4.04,18.532,17.956,17.933,41751.68,36074.15,27758.64,1.3
2017-06-06,18.74,18.8,18.55,18.4,27284.12,-0.14,-0.75,18.254,17.8,17.894,37990.75,32300.16,26154.61,0.68
2017-06-05,18.16,18.94,18.69,18.14,62384.89,0.51,2.81,18.098,17.73,17.898,40348.75,30888.27,26522.92,1.56
2017-06-02,18.15,18.19,18.18,17.65,30574.41,0.24,1.34,17.758,17.641,17.919,33411.29,26043.1,24308.65,0.77
2017-06-01,17.9,18.24,17.94,17.73,36640.23,0.03,0.17,17.486,17.616,17.978,34062.61,25285.4,24417.52,0.92
2017-05-31,17.85,18.25,17.91,17.8,33070.1,0.14,0.79,17.38,17.592,18.05,30396.62,23875.48,23853.99,0.83
2017-05-26,17.1,17.95,17.77,17.0,39074.11,0.78,4.59,17.346,17.552,18.127,26609.57,22030.62,24128.74,0.98
2017-05-25,16.95,17.15,16.99,16.84,27697.59,0.17,1.01,17.362,17.535,18.175,21427.78,21365.22,24107.48,0.69
2017-05-24,17.2,17.41,16.82,16.72,33831.04,-0.59,-3.39,17.524,17.628,18.266,18674.92,21158.85,23900.6,0.85
2017-05-23,17.75,17.99,17.41,17.36,18310.28,-0.33,-1.86,17.746,17.778,18.362,16508.19,19730.92,23311.0,0.46
2017-05-22,17.85,18.06,17.74,17.69,14134.85,-0.11,-0.62,17.804,17.909,18.428,17354.34,19443.13,24396.01,0.35
2017-05-19,17.81,18.07,17.85,17.8,13165.16,0.05,0.28,17.758,17.987,18.522,17451.66,20009.05,25054.77,0.33
2017-05-18,17.8,18.09,17.8,17.75,13933.25,-0.13,-0.72,17.708,18.066,18.605,21302.65,22157.57,28296.82,0.35
2017-05-17,17.87,18.29,17.93,17.75,22997.42,0.23,1.3,17.732,18.197,18.726,23642.78,22574.2,32911.65,0.58
2017-05-16,17.5,17.71,17.7,17.18,22541.04,0.19,1.08,17.81,18.339,18.903,22953.65,23549.63,37342.6,0.56
2017-05-15,17.3,17.76,17.51,17.3,14621.41,-0.09,-0.51,18.014,18.507,19.06,21531.92,23832.49,38990.21,0.37
2017-05-12,17.85,17.97,17.6,17.13,32420.13,-0.32,-1.79,18.216,18.701,19.218,22566.44,26226.87,42014.27,0.81
2017-05-11,18.35,18.35,17.92,17.51,25633.92,-0.4,-2.18,18.424,18.815,19.409,23012.48,26849.75,44264.75,0.64
2017-05-10,18.63,18.8,18.32,18.27,19551.74,-0.4,-2.14,18.662,18.903,19.584,21505.61,26642.36,50120.73,0.49
2017-05-09,18.53,18.83,18.72,18.48,15432.39,0.2,1.08,18.868,18.946,19.701,24145.61,26891.07,53536.97,0.39
2017-05-08,18.58,18.85,18.52,18.45,19794.03,-0.12,-0.64,19.0,18.946,19.801,26133.05,29348.9,60903.79,0.5
2017-05-05,19.1,19.24,18.64,18.5,34650.32,-0.47,-2.46,19.186,19.057,19.971,29887.3,30100.48,68311.21,0.87
2017-05-04,19.31,19.35,19.11,19.01,18099.59,-0.24,-1.24,19.206,19.143,20.079,30687.02,34436.07,69848.27,0.45
2017-05-03,19.28,19.65,19.35,19.11,32751.71,-0.03,-0.15,19.144,19.255,20.173,31779.1,43249.1,74563.57,0.82
2017-05-02,19.2,19.76,19.38,19.1,25369.62,-0.07,-0.36,19.024,19.467,20.19,29636.53,51135.56,74148.77,0.63
2017-04-28,18.87,19.5,19.45,18.75,38565.28,0.71,3.79,18.892,19.613,20.216,32564.74,54147.93,75239.66,0.97
